STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_bt,Business trend indicator,cpa2_1,Statistical Classification of Products by Activity (CPA 2.1),s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,BE,Belgium,2010,,9.8,,,,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,BE,Belgium,2011,,8.8,,,,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,BE,Belgium,2012,,9.3,,,,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,BE,Belgium,2013,,9.6,,,,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,BE,Belgium,2014,,10.1,,,,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,BE,Belgium,2015,,8.8,,,,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,BE,Belgium,2016,,8.9,,,,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,BE,Belgium,2017,,8.3,,,,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,BE,Belgium,2018,,9.8,,,,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,BE,Belgium,2019,,9.0,,p,provisional,,
