STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SCENARIO,Scenario,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2004,,53420.66836,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2005,,54358.41449,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2006,,55381.16383,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2007,,56996.01524,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2008,,56801.72132,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2009,,55274.95243,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2010,,56252.04416,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2011,,56600.73339,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2012,,56370.48748,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2013,,56279.22483,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2014,,57017.36721,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2015,,57524.33112,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2016,,57918.03345,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2017,,58544.69092,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2018,,59372.72359,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2019,,60494.90396,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2020,,57345.81219,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2021,,60658.54056,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2022,,62733.24955,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
