country,year,scenario,hdd_DegreesC,cdd_DegreesC,population_Mio,gdp_per_capita_USD,gdp_growth_rate_Percent,ln_pop,ln_gdp_pc,panel_predictions,ln_total_floor,ln_thermal_index,total_floor_m2,thermal_index,ln_hdd,ln_cdd
Austria,2025,KKO,3187.6809766666665,75.43285250000001,9.197213,62963.14442,-0.0362959591541978,2.322114447660544,11.050320707163715,28.507104485951846,19.995535849271405,5.198034423103453,483004171.0051699,179.91628728719573,8.067362623331245,4.336412610290658
Austria,2026,KKO,3293.199687083333,35.903954999999996,9.219116,63580.49807,1.2209833039249718,2.324260083969892,11.060077796156389,27.666821940933282,20.000489286542138,5.186727740507552,485402637.2946838,177.8822450548296,8.099918530358385,3.6083187268747627
Austria,2027,KKO,3305.00748375,29.4539425,9.234675,64983.96,2.3798722654384985,2.3257814648230624,11.08191113748884,26.750743520369024,20.007937125070463,5.1723845031121725,489031333.96563894,175.3348074724048,8.103496542065642,3.41621546032324
Austria,2028,KKO,3470.53848875,19.409915,9.251146,66031.0,1.79246252821732,2.3273895042127664,11.097894751992364,25.801890891976477,20.013937034069187,5.158129318780318,491974297.400738,172.838953978687,8.152353143197976,3.0160208121878975
Austria,2029,KKO,3134.59462625,31.07149,9.268632,66898.02,1.5045462052945655,2.329093811562737,11.11093959727958,24.516541460137468,20.019267779752425,5.143304886408235,494603889.8855379,170.280897873833,8.050574108526263,3.467967473492645
Austria,2030,KKO,3535.7673070833334,14.638825,9.286656,67696.05,1.3896873668433285,2.3308475213253437,11.12279788335717,23.515186460049183,20.02433978052137,5.127545796838007,497118893.85989904,167.60282428781957,8.17096839882628,2.749756604417687
Austria,2035,KKO,3231.509875833334,18.32756999999999,9.376463,71902.67,1.5272582473911278,2.33954006822369,11.18308258552192,22.258238082750147,20.049872294923837,5.095455223163547,509975015.344972,162.27815570762033,8.081014165810204,2.961532573988368
Austria,2040,KKO,3272.57671125,52.782675000000005,9.443147,77148.44,1.4946832102340712,2.345945973813163,11.253499599177797,21.29713425409194,20.07554119007559,5.063115935821908,523234966.6542959,157.08232408116118,8.093638461622154,3.9849513892839203
Austria,2045,KKO,3499.03283875,48.21810000000001,9.480586,82108.34,1.227225212412697,2.3495245933601874,11.315807052672724,20.433936701356217,20.09594020950434,5.034722680677121,534018055.22291416,152.6569746545574,8.16052762993349,3.896261442023596
Austria,2050,KKO,3220.8930858333333,35.3226625,9.486695,86650.98,1.02073521384487,2.3501073108019828,11.369655145430864,19.390891719244284,20.110794222270627,5.010440261896727,542009572.3583006,148.97074802270222,8.077724380639294,3.592441857764348
Austria,2055,KKO,2718.753472916667,66.79534,9.453914,91261.13,0.9620932581113184,2.346976453740726,11.421491194116978,18.330045865095787,20.12101165603689,4.989537143967188,547575907.6808552,145.86842882272617,7.908296520225339,4.216493461020806
Austria,2060,KKO,2906.3159470833334,57.758645,9.392821,96652.66,1.1273872761431214,2.341115279327011,11.478889352517514,17.664882536674853,20.129675145777288,4.969914255453007,552340434.8634678,143.0145383801441,7.974985579580284,4.073438291135096
Belgium,2025,KKO,2105.0209483333333,30.8380425,11.883495,63587.69763,1.156511989250375,2.555947034798879,11.060191023315756,36.84796633759329,20.371332417745197,5.2758161168449424,703326947.4874889,194.55000305907063,7.652555639621341,3.460661879814898
Belgium,2026,KKO,2168.4339841666665,25.38815,11.933176,64080.79235,1.1967653346052654,2.559795792938671,11.067915551856691,35.72275875853761,20.377542791493703,5.2634961396934825,707708462.0440311,192.1556112012612,7.682221575721119,3.272915045746469
Belgium,2027,KKO,2063.84119125,23.411415,11.976143,64967.62,1.7489675681946704,2.5631125176575864,11.08165966307642,34.34537412565488,20.384763874275137,5.249389162680743,712837379.322064,189.44989901508183,7.632808597474114,3.195050850770669
Belgium,2028,KKO,2244.2351395833334,55.47306291666666,12.017863,65836.86,1.6909789539607534,2.566322491204821,11.09495033178505,33.22474318225059,20.391748669363235,5.234482042926358,717833831.6389252,186.63189590323063,7.7165655339269215,4.033763761928128
Belgium,2029,KKO,1996.4329554166663,56.8946325,12.058341,66721.75,1.6854070122963138,2.569427086682928,11.108301253209609,31.529418482975718,20.39863431842797,5.21862926329922,722793639.6497082,183.68086165617865,7.5996181128301625,4.05862467734567
Belgium,2030,KKO,2342.642314166667,11.6866275,12.097616,67631.11,1.693061169134058,2.5724302289130505,11.121838149254266,30.32496047011794,20.40545833873359,5.201762585588349,727742865.733954,180.5920314617153,7.7594615427076175,2.54054848596444
Belgium,2035,KKO,2196.581780833333,20.0644775,12.277743,72529.29,1.7082801566836503,2.586089174785054,11.191759546694977,28.697606815608136,20.43868948477138,5.163483912454606,752332910.0169146,173.7722875229336,7.69511284426314,3.0475880909458053
Belgium,2040,KKO,2106.79654375,50.855865,12.434514,77557.69,1.4829219166864194,2.5978270672412145,11.258790219064386,27.229852939605134,20.46906596495028,5.127377118799706,775536777.4705698,167.57438709259927,7.653398388755632,3.9484680430326433
Belgium,2045,KKO,2286.7567920833335,85.6495975,12.552813,82239.26,1.2674408128701131,2.60659412725552,11.317400242162591,26.06667733958853,20.49400123168795,5.095446789714153,795118112.2333064,162.2767787153635,7.735327049683369,4.4618723710267645
Belgium,2050,KKO,2100.3358125,19.4749875,12.623315,86532.72,1.0805625512940065,2.611782663176806,11.368289443546924,24.629553930007308,20.513030984401027,5.0679989615587715,810393899.5492005,157.85613186229648,7.650328522675381,3.0192040192383365
