,country,year,scenario,share_pu,panel_predictions,COP,Demand_HP_TWh
0,Austria,2025,KKO,0.07213598837670437,224693.48829317998,3.78761846306545,1.188704064300657
1,Austria,2026,KKO,0.07728134261959656,221372.54645896677,3.8005599583128236,1.2503981721056325
2,Austria,2027,KKO,0.08354546782494067,216346.65859871768,3.817041895943359,1.3153570587534715
3,Austria,2028,KKO,0.09111074058770047,210729.52444951131,3.8334948156060067,1.3912256714832805
4,Austria,2029,KKO,0.10015948246332357,200916.56532024962,3.850681421312895,1.4516694145932594
5,Austria,2030,KKO,0.11085821463555154,196590.53562438992,3.8690377687850908,1.5646781430741206
6,Austria,2035,KKO,0.19088090599787916,186102.00340878416,3.9066935909172593,2.525815855956521
7,Austria,2040,KKO,0.29231776989392866,178320.76491338504,3.9450196757884157,3.670332935161311
8,Austria,2045,KKO,0.3637923704115105,172085.28688501162,3.9789856569777475,4.370412728950636
9,Austria,2050,KKO,0.3960145060799664,163084.17350710815,4.008270934579303,4.4757244509730985
10,Austria,2055,KKO,0.3960145060799664,153014.3078079857,4.033657112182519,4.172935367781503
11,Austria,2060,KKO,0.3960145060799664,148217.42456231077,4.057638124991865,4.018227707049944
12,Belgium,2025,KKO,0.05030466792195469,261239.2517353162,3.6997978565854925,0.9866570430277822
13,Belgium,2026,KKO,0.06137004455412829,256010.7035189806,3.7135685725960217,1.1752238950930802
14,Belgium,2027,KKO,0.07484140170392536,247999.73021437624,3.7294007653264654,1.382456786504866
15,Belgium,2028,KKO,0.09111095060052518,243141.75138494137,3.746205599599595,1.6426158497344567
16,Belgium,2029,KKO,0.1105707841075004,231635.10761051544,3.7641610513339794,1.8900534044072843
17,Belgium,2030,KKO,0.13357901549137324,227969.65174454654,3.783361098793378,2.2358104375953305
18,Belgium,2035,KKO,0.30567235974799994,215832.69489476434,3.8273062410833116,4.7882596069404215
19,Belgium,2040,KKO,0.523818098682663,204887.89267197018,3.869234728565187,7.70493922725813
20,Belgium,2045,KKO,0.677528287918659,197891.62139482022,3.906703535909187,9.533269773401093
21,Belgium,2050,KKO,0.7468238213713847,187331.53535934372,3.9392081707980857,9.86546640244151
22,Belgium,2055,KKO,0.7468238213713847,173463.58849847983,3.968162023171295,9.068481920370578
23,Belgium,2060,KKO,0.7468238213713847,169542.95563829294,3.9963037452444166,8.801099305206218
24,Bulgaria,2025,KKO,0.0004610467216722863,60653.216272933896,3.4121456663701646,0.0022765055298657054
25,Bulgaria,2026,KKO,0.0010260505828712048,60016.485234425694,3.4231200085557156,0.0049970616071133905
26,Bulgaria,2027,KKO,0.0017139050552706574,58120.8079039372,3.436627714956229,0.00805162265850957
27,Bulgaria,2028,KKO,0.0025446366473446114,56324.78321351629,3.449815797971171,0.011540560417034431
28,Bulgaria,2029,KKO,0.003538265823757863,53209.82823979061,3.4631563356316133,0.015101069860895823
29,Bulgaria,2030,KKO,0.0047130780333530025,51624.55643071524,3.4768667526837507,0.01943884315345674
30,Bulgaria,2035,KKO,0.013500253312042907,50390.341887883325,3.489305632592111,0.05415614098218064
31,Bulgaria,2040,KKO,0.024638887711870377,48242.37057994288,3.501917302029991,0.09428472788833435
32,Bulgaria,2045,KKO,0.0324874095752328,46622.40914031609,3.5147061819631342,0.11970664771815732
33,Bulgaria,2050,KKO,0.036025675398990674,43817.12804684913,3.5276768585658544,0.12429817248793675
34,Bulgaria,2055,KKO,0.036025675398990674,42523.06656165521,3.5408340913686143,0.12017901192124525
35,Bulgaria,2060,KKO,0.036025675398990674,40805.90450395984,3.553136713673094,0.11492664310795356
36,Croatia,2025,KKO,0.012432315466382071,74386.14664717535,4.346063483416207,0.05910789825315371
37,Croatia,2026,KKO,0.016483003404519584,72555.11205699643,4.366088081256503,0.07608680921339392
38,Croatia,2027,KKO,0.021414445481092316,70147.94078644607,4.386514197501563,0.09512610608250684
39,Croatia,2028,KKO,0.027370217947325116,68238.24611580404,4.408052610342348,0.11769468248926386
40,Croatia,2029,KKO,0.03449385372450018,64127.44565048094,4.4305817931905205,0.1386827354638473
41,Croatia,2030,KKO,0.042916446867289876,62327.69669453889,4.45417525064089,0.166814975278087
42,Croatia,2035,KKO,0.10591443211319577,59334.820383032275,4.4842444602091796,0.3892897715528663
43,Croatia,2040,KKO,0.185770757192043,56987.265137858245,4.501881400896693,0.6532187108887278
44,Croatia,2045,KKO,0.24203924494479817,55316.48933581897,4.519407345968007,0.8229177145799017
45,Croatia,2050,KKO,0.2674061701615698,51950.47728437726,4.537212724946896,0.8504902196096581
46,Croatia,2055,KKO,0.2674061701615698,48787.695286910726,4.555305650480668,0.7955394183718899
47,Croatia,2060,KKO,0.2674061701615698,46701.62453677172,4.573694578876169,0.7584618677242996
48,Czechia,2025,KKO,0.07398414603129654,229870.409938475,3.430278532398571,1.3771772804173887
49,Czechia,2026,KKO,0.07708890379615702,223967.4083942719,3.443794809901268,1.3926337846794932
