year,country,population_Mio,gdp_per_capita_USD,gdp_growth_rate_Percent,hdd_DegreesC,cdd_DegreesC,industry_va_MioEUR,energy_intensity_KGOE_per_EUR_PPS,eii_share_Percent,demand_ind_TWh,demand_tra_TWh,demand_oth_TWh,demand_tot_TWh
1990,Austria,7.644818,43177.35409,3.299014032531944,3647.948555965075,25.64684200596804,76647.33446857157,192.02739416218614,21.727864602020563,17.98,2.77,22.017,42.767
1990,Belgium,9.947782,41647.81322,3.299014032531944,2276.9519201528847,46.29613192140583,88330.30543010878,355.1891309292665,32.90430749958854,30.523,1.249,26.212,57.984
1990,Bulgaria,8.767308,13688.68504,3.299014032531944,2416.96324001172,129.4818368893318,3161.449729083576,527.3737154435761,17.535800106614815,18.552,1.305,15.415,35.272
1990,Croatia,4.772556,17519.10144,3.299014032531944,1947.345517636787,106.44144552182476,6163.843646374042,286.2600818457004,13.400260628649214,5.984,0.369,6.95,13.303
1990,Czechia,10.362102,30937.81727,3.299014032531944,3008.033596077541,32.228258351825374,20501.510613963805,406.66088462968327,32.21456816809193,26.922,3.167,18.088,48.177
1990,Denmark,5.135409,45847.80893,3.299014032531944,2573.852049640807,14.158591496563346,43392.29211928347,280.58335998017213,15.334004658087714,8.409,0.204,19.757,28.37
1990,Estonia,1.570599,14705.16522,3.299014032531944,3506.8052039747963,20.208395724590908,1038.6422862705947,947.8910172816256,14.077448450480782,2.73,0.348,3.727,6.805
1990,Finland,4.974383,38802.53778,3.299014032531944,4890.330549689824,18.547222025091763,54287.2,404.637477236263,27.82588690010583,32.518,0.425,26.0,58.943
1990,France,58.313439,38727.40359,3.299014032531944,2069.89262003016,85.4037122106147,399014.1,271.9059237691602,5.926657199773701,114.666,7.473,180.091,302.23
1990,Germany,79.112831,42535.21319,3.299014032531944,2608.1747159771594,50.55400411291648,868458.3171352934,248.16054972867363,21.664185458425187,216.479,13.668,224.932,455.079
1990,Greece,10.120892,26724.27702,3.299014032531944,1043.869206118426,245.4371373743552,24964.083895085012,232.7848829287845,23.872785294463803,12.109,0.125,16.237,28.471
1990,Hungary,10.374823,18754.21025,3.299014032531944,2430.097173160619,83.88911182087358,12225.123717557468,421.95404949479064,20.354193101903668,13.751,1.186,16.656,31.593
1990,Ireland,3.50697,30571.04033,3.299014032531944,2050.52539052318,2.1263176698253243,20561.528718315345,246.98204716370606,8.613261431729304,4.484999,0.016,7.367,11.867999
1990,Italy,56.69436,42772.65308,3.299014032531944,1784.2036414655834,164.1732077299312,350567.74787250836,164.97582912516515,19.48489559324563,110.917,6.725,96.985,214.627
1990,Latvia,2.66814,10705.53465,3.299014032531944,3365.839424517238,26.05017478396619,1436.125110520037,555.945460985204,7.869305817074212,3.19,0.255,4.875,8.32
1990,Lithuania,3.693708,12158.20805,3.299014032531944,3193.9037667718903,24.440139759581257,1833.5295821528337,640.3879651015573,20.63147607960091,5.46,0.212,6.341,12.013
1990,Luxembourg,0.3793,81250.08532,3.299014032531944,2640.352230276592,49.13023609603988,4167.898069724952,298.29295357077666,3.192524022036901,2.81,0.055,1.284,4.149
1990,Netherlands,14.892574,43126.41654,3.299014032531944,2106.6987448080145,32.52914874224106,112002.70362710804,347.78634051536085,25.280371243347066,33.2503,1.286,36.841,71.3773
1990,Norway,4.233116,57044.26115,3.299014032531944,4862.298188574206,6.00965586083403,37587.2,326.0651485653992,20.7534563396207,45.81,0.652,50.346,96.808
1990,Poland,38.038403,12956.48788,3.299014032531944,2863.4035092084655,27.994553653609767,45634.453059405336,517.9631347534987,24.512010877520353,42.744,5.481,48.01,96.235
1990,Portugal,9.995995,27190.11916,3.299014032531944,1002.9689509983536,208.95483460540524,30296.913000840173,191.26318305141834,21.02371080585732,12.219,0.31,11.015,23.544
1990,Romania,23.211395,15660.11506,3.299014032531944,2758.8253306003626,92.9969240547302,13498.90220638514,586.3287372596988,24.00865224283506,38.553,2.614,13.069,54.236
1990,Slovakia,5.287663,13945.31316,3.299014032531944,3036.980111222753,34.72718668354044,5595.708823067794,576.4546307304614,35.014005516990736,15.008,1.164,7.242,23.414
1990,Slovenia,1.996377,25336.07451,3.299014032531944,2628.5301750423314,52.95243139558367,6498.5660246894195,318.6004899666197,14.841803660377295,5.969,0.224,3.049,9.242
1990,Spain,38.853227,31382.34495,3.299014032531944,1430.4734084238569,223.53531884751413,164366.5521494196,216.9612349885242,23.673549502979633,63.279,3.669,58.851,125.799
1990,Sweden,8.527039,40149.61196,3.299014032531944,4556.330220608388,13.795529529861897,62551.25796350295,365.0521085357331,17.576020895036283,53.955,2.474,63.918,120.347
1991,Austria,7.710882,44219.64941,3.299014032531944,3670.064970801799,35.07519999080047,78741.89869143232,188.22855621243087,21.673885809759657,18.275,3.162,23.381,44.818
1991,Belgium,9.986975,42250.18247,1.8460263659373588,2261.670942748939,35.74839870293866,90139.09276370071,344.4423672669211,32.70554893158223,31.081,1.276,28.159,60.516
1991,Bulgaria,8.669269,13688.68504,-14.243441383105571,2276.3160272391133,107.23715156450844,3319.5222155377555,507.1666546397029,17.804371066753074,13.998,1.206,14.974,30.178
1991,Croatia,4.782179,17519.10144,-14.243441383105571,1986.7406168495304,116.04969443247668,6472.035828692745,277.7465038319399,13.510774140270284,4.7,0.329,6.5,11.529
1991,Czechia,10.304607,26679.23942,-14.243441383105571,3090.6938804733304,39.43953614814119,21526.586144661997,393.9483621345801,30.87893630163234,23.074,2.361,19.031,44.466
1991,Denmark,5.146469,46362.29198,1.3399382776611901,2518.215944899072,7.989316483212603,45002.61458024815,266.8115060354468,15.384007489270648,8.609,0.199,20.449,29.257
1991,Estonia,1.567749,14705.16522,-5.939293064961449,3614.6457571243423,25.94565013920012,1090.5744005841245,900.4964664175463,14.020666913751752,2.881,0.344,3.49,6.715
1991,Finland,4.998478,36322.00421,-5.939293064961449,4998.676028494385,10.713897152402437,45110.3,393.7317548386338,26.913376852724287,31.377,0.425,27.285,59.087
1991,France,58.313439,39037.67936,0.8011788584766366,2034.422308324758,81.80043051404583,405862.9,263.97993191892414,5.878177648292332,116.946,7.475,196.941,321.362
1991,Germany,79.753227,44376.3367,5.172978443970955,2650.484593918791,41.627884999652686,878868.7,240.55423492631988,21.307449658100154,214.513,15.317,225.493,455.323
1991,Greece,10.272691,27321.4495,3.7679425444966608,1004.3390061305264,214.52902639521992,26212.288089839265,226.07846184679238,23.780878668332726,11.896,0.123,17.313,29.332
1991,Hungary,10.373153,18754.21025,1.756281844516261,2452.1494354515808,117.09448307954445,12836.379903435343,400.85634702005194,19.779032596975984,10.67,1.1,17.754,29.524
1991,Ireland,3.520977,30984.20163,1.756281844516261,2002.5839497225709,2.5182021706655338,21589.605154231118,234.63294480552125,8.182598360142856,4.626,0.017,7.822,12.465
1991,Italy,56.744119,43384.98662,1.5206241397163867,1763.4844103774285,185.63265423843768,361512.97363069636,162.53553018802776,19.237108050234987,110.97,7.051,101.416,219.437
1991,Latvia,2.658161,10705.53465,8.625936034957626,3485.6288043091813,35.303037254403336,1507.931366046039,528.148187935945,8.134545304363845,3.002,0.218,4.793,8.013
1991,Lithuania,3.701968,12158.20805,8.625936034957626,3334.997417908775,35.09295377403478,1925.2060612604757,608.3685668464807,19.61559924429957,5.22,0.231,6.44,11.891
1991,Luxembourg,0.3844,87087.70006,8.625936034957626,2625.461612526165,33.63936785570842,4326.258565744101,288.7283489849568,3.249901687085321,2.79,0.059,1.362,4.211
1991,Netherlands,15.010445,43828.70958,2.4328159006197003,2097.763480430851,29.654430381702227,115663.57657861247,334.31981029402624,25.110544867060526,33.298846,1.368,38.661,73.32784600000001
1991,Norway,4.24983,58514.03683,2.981565510650208,4804.6922586694545,4.158499459306864,37807.2,312.986125035887,18.619227672520104,45.286,0.637,53.082,99.005
1991,Poland,38.18316,12022.85688,-6.852763181661581,2952.108304215911,37.38724782634827,47868.39486118326,492.0649780158248,24.14394141226944,37.717,4.983,46.697,89.397
1991,Portugal,9.970441,28443.32088,4.3416085425979745,946.0743024791202,297.4816297675706,31548.161222604096,187.97544276834233,20.793984276656605,12.512,0.323,12.031,24.866
1991,Romania,23.192274,15660.11506,-8.904973928034032,2706.7818564882245,78.97823313281086,14173.847316704401,557.012300396715,23.069715108015526,30.881,1.786,12.951,45.618
1991,Slovakia,5.310711,13945.31316,-8.904973928034032,3070.200768040626,57.17256134017392,5875.4942642211845,548.4570014027859,34.45860743629871,11.082,1.439,9.332,21.853
1991,Slovenia,1.999945,23038.728,-8.904973928034032,2630.5633772734745,66.60684983456636,6823.494325923892,307.7868312310613,14.97628593860424,5.257,0.178,3.434,8.869
1991,Spain,38.881416,32123.42984,2.4357365677152076,1366.018537848115,286.0525043610413,172584.8797568906,212.49701686777973,23.603221692965754,64.707,3.752,60.178,128.637
1991,Sweden,8.59063,39422.36216,-1.079100664567878,4473.934621244056,11.627117655169029,65678.8208616781,351.3814218280451,17.28366424849514,51.764,2.403,67.85,122.017
1992,Austria,7.798899,44651.27403,2.1286988620701663,3725.4820069909256,29.425028703474457,80893.70168605402,184.5048698827411,21.620041117653887,17.831,3.243,23.264,44.338
1992,Belgium,10.021997,42721.83244,1.4709179226591207,2438.7794785086608,24.16601517520699,91984.91961167257,334.0207625668201,32.507990965301275,32.212,1.305,29.066,62.583
1992,Bulgaria,8.595465,13688.68504,-6.398124165993558,2383.4222791129337,210.4678020130162,3485.498326314644,487.7338556057621,18.07705534708145,11.952,1.04,13.177,26.169
1992,Croatia,4.595865,17519.10144,-6.398124165993558,1966.8398502136856,161.46462824309413,6795.637620127382,269.48612567101424,13.622199069705523,3.412,0.219,5.875,9.506
1992,Czechia,10.312548,24953.03909,-6.398124165993558,3150.415129334192,40.651591049384194,22602.9154518951,381.6332425722345,29.598680390342913,19.675,2.701,21.009,43.385
1992,Denmark,5.162126,47145.01516,1.9976396330520396,2725.9832421043825,5.903415586994791,46672.697388077846,253.7156150597631,15.514748077585221,8.744,0.195,20.811,29.75
1992,Estonia,1.554878,14705.16522,-3.2682282811664853,3980.1962297367927,22.795320076762295,1145.103120613331,855.4716430966708,13.964114405949708,2.029,0.368,3.347,5.744
1992,Finland,5.029002,34921.66351,-3.2682282811664853,5309.652825427863,15.777782209088894,38510.299999999996,383.1199616682911,29.426848046015046,31.664,0.435,27.659,59.758
1992,France,58.604851,39398.45551,1.4285264439491074,2130.738232500179,34.023043018818754,421427.2,256.28498081226104,5.838326970473107,121.052,7.625,201.65,330.327
1992,Germany,80.274564,44790.41546,1.592894387884214,2789.3937816430152,31.282505032054413,917321.5,233.18105961747287,20.9565880888407,211.912,14.895,224.119,450.926
1992,Greece,10.367163,27312.77974,0.887617929872575,1015.5355644837704,282.6603440446814,27522.902494331232,219.56524954693043,23.689325868863353,11.746,0.13,18.825,30.701
1992,Hungary,10.373647,18186.56013,-3.022169502516847,2541.4028389007517,176.0707753758544,13478.198898607112,380.8135296690502,19.220124743517687,9.062,1.064,18.206,28.332
1992,Ireland,3.547492,31758.88381,3.2721353177959767,2196.2758706320064,0.262671384372354,22669.085411942677,222.90129756524567,7.773468442135731,4.879001000000001,0.017,8.311,13.207001
1992,Italy,56.772923,43671.79992,0.7121856131722559,1749.318188995911,147.7503885790481,372799.92496867257,160.13132780475632,18.99247159757417,111.305,7.191,104.99,223.486
1992,Latvia,2.643,10705.53465,1.8031821645813295,3844.5931381531936,31.58886676887878,1583.3279343483414,501.7407785391488,8.40872484141822,2.31,0.207,3.827,6.344
1992,Lithuania,3.706299,12158.20805,1.8031821645813295,3658.752348458643,39.99977324735643,2021.4663643234996,577.9501385041578,18.64974334499552,3.655,0.141,5.376,9.172
1992,Luxembourg,0.3896,87474.72894,1.8031821645813295,2837.9869986628505,20.23454159467515,4490.636014740482,279.4704283478832,3.308310572705202,2.767,0.063,1.401,4.231
1992,Netherlands,15.12915,44191.22786,1.624482183444309,2257.323496828298,23.425092349340808,119444.1072734842,321.37471353651017,24.9418593362863,33.605,1.398,39.922,74.925
1992,Norway,4.273634,60266.19628,3.571314655322877,5051.301414383459,1.770428208147005,38429.9,300.4317232184412,17.112299465240643,44.808,0.67,53.905,99.383
1992,Poland,38.309226,12304.56496,2.681001605769473,3103.461400302532,64.5778153835429,50211.694738694045,467.4617291150346,23.781398834711545,36.341,4.5,44.825,85.666
1992,Portugal,9.950029,28775.57116,0.9609969622671688,1042.6754100938551,185.3662893000513,32851.085405955586,184.7442174715617,20.566767974061815,12.8,0.332,12.521,25.653
1992,Romania,22.810035,15660.11506,-5.231503744835853,2835.8818386105177,182.18385479448756,14882.539682539624,529.1616853768804,22.16749819114986,25.489,2.827,13.098,41.414
1992,Slovakia,5.295877,13945.31316,-5.231503744835853,3172.607904406991,80.80234775184593,6169.268977432244,521.8191794323361,33.91201917394886,11.235,0.95,8.142,20.327
1992,Slovenia,1.998912,21844.7392,-5.231503744835853,2676.5293341798497,66.63976635834987,7164.669042220087,297.3402002275152,15.111986767053935,4.66,0.147,3.664,8.471
1992,Spain,39.051336,32346.76085,1.1352871988986823,1438.0107427154048,172.6645151170214,181214.12374473515,208.12465498776248,23.533102808143266,64.876,4.107,61.786,130.769
1992,Sweden,8.64412,38736.35513,-1.1283269088809944,4783.085468561797,8.721440812869425,68962.76190476202,338.22268306063233,16.996170614423377,50.626,2.472,66.948,120.046
1993,Austria,7.882519,44517.88214,0.7702580038706275,3756.632067792468,38.091876849219304,83104.30763316434,180.8548484642698,21.566330192556645,17.657,3.239,24.062,44.958
1993,Belgium,10.068319,42147.29712,-0.8888409128989361,2493.64047084027,19.796885642946144,93868.5444521488,323.9144786717263,32.31162634850737,31.255,1.36,30.685,63.3
1993,Bulgaria,8.484863,13688.68504,-0.9360205194506643,2325.5276914083947,146.22186724231628,3659.773242630377,469.04565142015247,18.353915945487035,10.914,0.726,14.569,26.209
1993,Croatia,4.555771,17519.10144,-0.9360205194506643,1926.2806310776105,158.50562357602615,7135.419501133753,261.47141701958776,13.734542933523803,3.078,0.196,6.097,9.371
1993,Czechia,10.325697,24687.99513,-0.9360205194506643,3159.6625436666964,47.06643506739383,23733.06122448986,369.70310283062753,28.371504519842244,17.156,2.66,23.207,43.023
1993,Denmark,5.180614,46941.87508,-0.07427966059559976,2817.053420459387,2.419853441469053,48404.75829675774,241.2625088087505,14.83971960214126,8.794,0.212,21.157,30.163
1993,Estonia,1.511303,14705.16522,-0.7498598582244331,3749.714275867106,9.653007869219424,1202.3582766439977,812.6980609418275,13.907790003284058,1.325,0.137,3.078,4.54
