year,country,industry_no_construction_va_MioEUR,construction_va_MioEUR,manufacturing_va_MioEUR,industry_va_MioEUR
2022,Lithuania,12895.8,4191.5,10845.4,27932.699999999997
2023,Lithuania,13262.8,4943.8,11089.0,29295.6
2024,Lithuania,12723.4,5398.9,10727.8,28850.1
2025,Lithuania,13038.0,5622.4,11066.3,29726.7
1995,Luxembourg,2183.5,950.4,1888.3,5022.2
1996,Luxembourg,2108.0,953.7,1801.1,4862.799999999999
1997,Luxembourg,2196.9,990.0,1888.4,5075.3
1998,Luxembourg,2306.9,1081.1,1987.5,5375.5
1999,Luxembourg,2363.2,1182.0,2014.5,5559.7
2000,Luxembourg,2571.2,1257.0,2216.4,6044.6
2001,Luxembourg,2557.5,1338.2,2180.5,6076.2
2002,Luxembourg,2582.8,1446.0,2180.5,6209.3
2003,Luxembourg,2769.6,1487.4,2318.5,6575.5
2004,Luxembourg,2804.2,1548.0,2338.3,6690.5
2005,Luxembourg,2856.5,1524.0,2371.6,6752.1
2006,Luxembourg,2946.2,1674.5,2420.3,7041.0
2007,Luxembourg,3528.3,1920.8,2998.6,8447.7
2008,Luxembourg,3169.1,1954.2,2674.3,7797.6
2009,Luxembourg,2381.1,1917.1,1816.8,6115.0
2010,Luxembourg,2656.6,2006.8,2105.8,6769.2
2011,Luxembourg,2700.7,2045.7,2158.4,6904.799999999999
2012,Luxembourg,2652.4,2198.8,2120.0,6971.200000000001
2013,Luxembourg,2837.1,2289.8,2236.0,7362.9
2014,Luxembourg,3121.7,2477.4,2448.8,8047.900000000001
2015,Luxembourg,3663.2,2584.5,2966.8,9214.5
2016,Luxembourg,4001.3,2797.6,3257.2,10056.099999999999
2017,Luxembourg,3486.6,2806.3,2778.1,9071.0
2018,Luxembourg,3705.6,2898.9,2985.1,9589.6
2019,Luxembourg,3912.3,3328.1,3147.5,10387.9
2020,Luxembourg,3988.9,3327.1,3177.3,10493.3
2021,Luxembourg,4233.4,3503.0,3392.8,11129.2
2022,Luxembourg,3830.0,3163.2,3002.0,9995.2
2023,Luxembourg,4253.6,3371.8,3326.8,10952.2
2024,Luxembourg,4476.1,3848.8,3415.3,11740.2
2025,Luxembourg,4109.0,3837.0,3333.0,11279.0
1995,Latvia,932.6,171.4,728.9,1832.9
1996,Latvia,1057.7,188.1,803.3,2049.1
1997,Latvia,1360.6,242.2,1048.0,2650.8
1998,Latvia,1283.7,361.6,947.2,2592.5
1999,Latvia,1294.8,442.5,954.6,2691.9
2000,Latvia,1500.1,538.9,1174.6,3213.6
2001,Latvia,1615.3,519.6,1275.3,3410.2
2002,Latvia,1721.7,577.0,1377.2,3675.8999999999996
2003,Latvia,1654.6,579.5,1297.6,3531.7
2004,Latvia,1824.2,684.5,1436.7,3945.3999999999996
2005,Latvia,1956.0,826.9,1572.5,4355.4
2006,Latvia,2290.1,1308.0,1833.2,5431.3
2007,Latvia,2870.1,2042.6,2283.8,7196.5
2008,Latvia,3096.8,2238.6,2356.9,7692.299999999999
2009,Latvia,2633.5,1328.1,1841.4,5803.0
2010,Latvia,2894.5,771.3,2133.6,5799.4
2011,Latvia,3094.5,980.0,2314.8,6389.3
2012,Latvia,3377.8,1177.5,2512.7,7068.0
2013,Latvia,3334.6,1245.4,2531.3,7111.3
2014,Latvia,3175.7,1295.5,2484.1,6955.299999999999
2015,Latvia,3388.3,1309.1,2575.3,7272.7
2016,Latvia,3517.7,1177.5,2581.9,7277.1
2017,Latvia,3765.7,1379.6,2829.3,7974.599999999999
2018,Latvia,3836.6,1609.8,3080.3,8526.7
2019,Latvia,4061.4,1733.4,3259.0,9053.8
2020,Latvia,4261.6,1681.0,3355.7,9298.3
2021,Latvia,5256.9,1552.4,4147.9,10957.199999999999
2022,Latvia,5615.5,1812.0,4325.3,11752.8
2023,Latvia,5837.8,2128.4,4305.3,12271.5
2024,Latvia,5432.5,2105.8,4044.7,11583.0
2025,Latvia,5665.5,2373.7,4297.4,12336.599999999999
1995,Netherlands,64676.6,16205.6,50661.2,131543.4
1996,Netherlands,65398.6,16284.8,49706.0,131389.4
1997,Netherlands,64841.2,16367.3,49889.4,131097.9
1998,Netherlands,67546.0,17454.6,52896.0,137896.6
1999,Netherlands,68411.0,19803.0,54504.0,142718.0
2000,Netherlands,73929.0,21482.0,57479.0,152890.0
2001,Netherlands,79279.0,23523.0,60442.0,163244.0
2002,Netherlands,78381.0,24770.0,59889.0,163040.0
2003,Netherlands,78313.0,24837.0,58978.0,162128.0
2004,Netherlands,80958.0,25118.0,61334.0,167410.0
2005,Netherlands,85690.0,26482.0,64117.0,176289.0
2006,Netherlands,91957.0,28306.0,66057.0,186320.0
2007,Netherlands,96428.0,30813.0,70622.0,197863.0
2008,Netherlands,102260.0,33104.0,70346.0,205710.0
2009,Netherlands,90014.0,33394.0,61992.0,185400.0
2010,Netherlands,91890.0,29984.0,62837.0,184711.0
2011,Netherlands,97062.0,29686.0,66266.0,193014.0
2012,Netherlands,100005.0,27183.0,66223.0,193411.0
2013,Netherlands,98777.0,25598.0,64215.0,188590.0
2014,Netherlands,94166.0,25828.0,65571.0,185565.0
2015,Netherlands,95632.0,26128.0,70958.0,192718.0
2016,Netherlands,93991.0,28180.0,73940.0,196111.0
2017,Netherlands,98589.0,29966.0,79216.0,207771.0
2018,Netherlands,103759.0,32629.0,83919.0,220307.0
2019,Netherlands,105749.0,36247.0,86468.0,228464.0
2020,Netherlands,103231.0,38666.0,85598.0,227495.0
2021,Netherlands,116527.0,41332.0,95886.0,253745.0
2022,Netherlands,141430.0,43981.0,102836.0,288247.0
2023,Netherlands,142262.0,48484.0,109965.0,300711.0
2024,Netherlands,143393.0,53301.0,113012.0,309706.0
2025,Netherlands,150803.0,57704.0,118909.0,327416.0
1990,Norway,24205.7,3653.0,9728.5,37587.2
1991,Norway,24842.5,3152.8,9811.9,37807.2
1992,Norway,25093.4,3238.5,10098.0,38429.9
1993,Norway,25550.8,2857.2,10497.1,38905.1
1994,Norway,26434.4,3459.1,11102.1,40995.6
1995,Norway,29381.1,4088.2,12550.4,46019.7
1996,Norway,35347.6,4500.5,12949.4,52797.5
1997,Norway,39483.6,5314.0,14274.3,59071.899999999994
1998,Norway,32315.9,5665.1,14485.6,52466.6
1999,Norway,39322.7,5798.9,15421.3,60542.899999999994
2000,Norway,62057.1,6396.6,16694.4,85148.1
2001,Norway,62266.4,7007.4,17594.1,86867.9
2002,Norway,61889.6,8190.9,18788.2,88868.7
2003,Norway,60603.8,8125.1,18293.6,87022.5
2004,Norway,66972.9,8872.1,18565.5,94410.5
2005,Norway,85546.1,10437.0,20710.8,116693.90000000001
2006,Norway,98903.7,12176.4,23278.4,134358.5
2007,Norway,96844.9,14422.3,24901.8,136169.0
2008,Norway,115774.8,14990.8,25242.4,156008.0
2009,Norway,84278.7,13817.1,21240.5,119336.3
2010,Norway,100363.1,15315.5,24082.8,139761.4
2011,Norway,119281.4,17211.9,24996.0,161489.3
2012,Norway,130228.5,20246.0,27144.0,177618.5
2013,Norway,124407.4,20129.9,26908.9,171446.19999999998
2014,Norway,112229.4,19822.1,26346.8,158398.3
2015,Norway,91994.1,19391.8,24801.2,136187.1
2016,Norway,76877.3,19354.3,22659.0,118890.6
2017,Norway,88825.7,20528.8,23481.1,132835.6
2018,Norway,101509.2,20955.5,23156.2,145620.9
2019,Norway,88125.2,21491.2,23287.5,132903.9
2020,Norway,67700.8,19699.7,21608.6,109009.1
2021,Norway,140516.1,21960.5,24307.6,186784.2
2022,Norway,256563.2,24644.9,28079.6,309287.7
2023,Norway,153952.9,21960.4,26192.7,202106.0
2024,Norway,144886.8,21592.6,26695.2,193174.6
2025,Norway,140292.9,21962.3,28797.0,191052.19999999998
1995,Poland,28534.9,8330.5,21087.2,57952.600000000006
1996,Poland,31209.4,9868.8,23123.6,64201.799999999996
1997,Poland,33304.3,11392.5,24818.5,69515.3
1998,Poland,35348.4,13535.3,26870.2,75753.9
1999,Poland,35495.3,13343.2,26804.2,75642.7
2000,Poland,39922.7,14034.0,29864.8,83821.5
2001,Poland,42746.4,15744.7,30800.6,89291.70000000001
2002,Poland,41990.2,14309.9,29861.3,86161.4
2003,Poland,41104.0,12047.5,29737.0,82888.5
2004,Poland,46641.6,13790.8,34356.1,94788.5
2005,Poland,55010.7,16736.8,40404.7,112152.2
2006,Poland,61234.1,19222.0,45549.2,126005.3
2007,Poland,69473.5,22555.7,52286.1,144315.3
2008,Poland,79939.4,25938.6,60652.9,166530.9
2009,Poland,70567.3,24672.8,53010.9,148251.0
2010,Poland,80199.5,26976.0,58355.6,165531.1
2011,Poland,84285.1,31073.1,61253.7,176611.90000000002
2012,Poland,88456.5,28726.1,64182.9,181365.5
2013,Poland,84595.6,27294.8,60704.5,172594.90000000002
2014,Poland,92115.8,30233.5,69105.9,191455.2
2015,Poland,100191.4,33852.9,76417.4,210461.69999999998
2016,Poland,100941.3,30236.5,78155.5,209333.3
2017,Poland,103703.3,31431.8,79206.7,214341.8
2018,Poland,108268.0,37179.6,83076.9,228524.5
2019,Poland,115705.3,39530.4,89709.4,244945.1
2020,Poland,114065.5,37861.4,86200.5,238127.4
2021,Poland,130515.2,35558.6,100862.8,266936.6
2022,Poland,154450.0,38647.5,116801.0,309898.5
2023,Poland,174179.0,46816.6,131271.2,352266.80000000005
2024,Poland,173332.2,53585.2,131240.9,358158.30000000005
2025,Poland,175373.0,57231.2,132920.3,365524.5
1995,Portugal,17361.2,5223.9,14506.6,37091.7
1996,Portugal,18990.4,5590.9,16016.8,40598.100000000006
1997,Portugal,20148.0,6417.9,17075.5,43641.4
1998,Portugal,21026.2,7017.2,17707.3,45750.7
1999,Portugal,22126.4,7616.7,18694.0,48437.100000000006
2000,Portugal,22809.4,8602.8,19325.5,50737.7
2001,Portugal,23554.8,9226.6,19928.9,52710.3
2002,Portugal,24016.5,9479.4,20235.1,53731.0
2003,Portugal,23896.9,9157.8,19684.6,52739.299999999996
2004,Portugal,24390.4,9465.0,19872.5,53727.9
2005,Portugal,24365.5,9538.3,19925.0,53828.8
2006,Portugal,25478.1,9682.1,20521.9,55682.1
2007,Portugal,26829.4,10291.2,21485.5,58606.100000000006
2008,Portugal,25983.6,10528.8,21316.2,57828.59999999999
2009,Portugal,25064.8,9767.9,19529.4,54362.1
2010,Portugal,26607.6,9244.9,20837.1,56689.6
2011,Portugal,25601.4,8484.3,19974.7,54060.399999999994
2012,Portugal,24994.7,7173.9,19171.8,51340.399999999994
2013,Portugal,25455.8,6773.0,19739.0,51967.8
2014,Portugal,26575.2,6304.4,20507.9,53387.5
2015,Portugal,28751.8,6398.1,21978.0,57127.9
2016,Portugal,29723.9,6523.8,22819.6,59067.3
2017,Portugal,30714.0,6920.3,24303.6,61937.9
2018,Portugal,32191.6,7541.1,25260.1,64992.799999999996
2019,Portugal,32357.0,8151.7,25605.3,66114.0
2020,Portugal,30637.1,8352.2,24304.9,63294.200000000004
2021,Portugal,33115.4,8695.7,26938.2,68749.3
2022,Portugal,34847.8,10048.2,30402.6,75298.6
2023,Portugal,39040.5,11547.6,32661.2,83249.3
2024,Portugal,41382.2,12779.3,34043.5,88205.0
2025,Portugal,42258.5,13740.9,34653.1,90652.5
1995,Romania,8598.4,1805.4,6824.6,17228.4
1996,Romania,9078.5,1895.5,7421.7,18395.7
1997,Romania,9497.2,1825.9,7530.1,18853.2
1998,Romania,9901.7,2037.3,7928.5,19867.5
1999,Romania,8492.8,1757.5,6536.2,16786.5
2000,Romania,10166.4,2119.0,8043.0,20328.4
2001,Romania,12026.6,2571.6,9941.0,24539.2
2002,Romania,13224.0,3004.8,10620.2,26849.0
2003,Romania,13153.4,3226.1,10757.2,27136.7
2004,Romania,15375.4,3853.5,12830.6,32059.5
2005,Romania,20000.9,5561.4,16849.3,42411.600000000006
2006,Romania,24313.5,7746.5,20517.7,52577.7
2007,Romania,31530.2,12224.8,26838.5,70593.5
2008,Romania,37263.3,16644.2,32169.8,86077.3
2009,Romania,32229.1,13379.9,26303.6,71912.6
2010,Romania,38910.1,10240.2,29970.0,79120.3
2011,Romania,46578.4,9123.6,35895.4,91597.4
2012,Romania,37443.4,10517.0,29642.4,77602.8
2013,Romania,36022.6,9820.7,28894.9,74738.20000000001
2014,Romania,39429.8,9597.4,32383.7,81410.90000000001
2015,Romania,39895.2,9492.7,32391.2,81779.09999999999
2016,Romania,40352.2,10100.3,33707.6,84160.1
2017,Romania,44160.9,10105.7,36964.4,91231.0
2018,Romania,47381.5,12225.1,39051.5,98658.1
2019,Romania,47877.5,14154.6,38509.9,100542.0
2020,Romania,44262.9,14262.6,34990.8,93516.3
2021,Romania,47675.3,15475.1,37860.1,101010.5
2022,Romania,58352.5,19139.8,38811.1,116303.4
2023,Romania,61243.0,25863.5,44620.6,131727.1
2024,Romania,61228.4,28079.8,46665.9,135974.1
2025,Romania,63524.7,32798.8,44939.3,141262.8
1993,Sweden,35453.3,7750.6,29207.0,72410.9
1994,Sweden,40125.0,7547.9,33760.5,81433.4
1995,Sweden,46563.9,7695.1,39904.8,94163.8
1996,Sweden,51109.1,8589.0,43895.0,103593.1
1997,Sweden,53058.1,8399.5,45675.4,107133.0
1998,Sweden,54222.5,8673.4,47353.8,110249.70000000001
1999,Sweden,56675.4,9376.4,49975.4,116027.20000000001
2000,Sweden,63782.9,10372.8,56640.2,130795.9
2001,Sweden,58924.4,10575.1,51337.4,120836.9
2002,Sweden,60890.2,11450.7,52892.9,125233.79999999999
2003,Sweden,61592.1,12113.5,52893.3,126598.90000000001
2004,Sweden,63253.0,13392.0,53145.9,129790.9
2005,Sweden,63999.3,13519.2,53394.9,130913.4
2006,Sweden,68167.3,15519.6,56727.3,140414.2
2007,Sweden,72046.8,17558.0,60384.2,149989.0
2008,Sweden,68504.6,16671.3,54877.9,140053.80000000002
2009,Sweden,54327.2,15588.5,43131.5,113047.2
2010,Sweden,70766.7,18079.9,55559.6,144406.2
2011,Sweden,76766.5,20610.1,60582.3,157958.90000000002
2012,Sweden,76808.4,22058.8,60230.5,159097.7
2013,Sweden,74378.8,22311.0,58767.0,155456.8
2014,Sweden,71458.6,22676.4,56824.5,150959.5
2015,Sweden,76124.9,24630.4,62230.3,162985.59999999998
2016,Sweden,76249.7,25840.6,62685.3,164775.59999999998
2017,Sweden,78121.8,27215.9,63390.8,168728.5
2018,Sweden,76638.6,27098.5,62541.0,166278.1
2019,Sweden,78614.3,27493.6,62522.0,168629.9
2020,Sweden,76067.9,28247.5,60505.1,164820.5
2021,Sweden,89217.2,31335.7,68875.9,189428.8
2022,Sweden,97364.8,32643.3,74889.6,204897.7
2023,Sweden,90025.5,30856.3,71682.3,192564.1
2024,Sweden,90435.5,30597.7,73064.4,194097.59999999998
2025,Sweden,93014.6,31856.9,73932.9,198804.4
1995,Slovenia,3997.6,799.8,3496.6,8294.0
1996,Slovenia,4156.1,896.6,3655.9,8708.6
1997,Slovenia,4585.3,1016.2,4042.4,9643.9
1998,Slovenia,5037.1,1083.5,4371.8,10492.400000000001
1999,Slovenia,5281.6,1265.1,4646.0,11192.7
2000,Slovenia,5384.9,1229.8,4705.8,11320.5
2001,Slovenia,5807.1,1236.0,5058.9,12102.0
2002,Slovenia,6152.8,1261.3,5333.1,12747.2
2003,Slovenia,6496.9,1380.8,5654.8,13532.5
2004,Slovenia,6865.6,1452.1,5902.0,14219.7
2005,Slovenia,6983.5,1636.3,5970.7,14590.5
2006,Slovenia,7499.3,1926.3,6408.1,15833.7
2007,Slovenia,8273.5,2416.6,7109.9,17800.0
2008,Slovenia,8508.5,2721.7,7244.0,18474.2
2009,Slovenia,7377.2,2434.1,6147.6,15958.9
2010,Slovenia,7524.0,1976.0,6307.5,15807.5
2011,Slovenia,7909.7,1855.5,6693.2,16458.4
2012,Slovenia,7948.1,1780.0,6725.7,16453.8
2013,Slovenia,8167.7,1612.6,6908.8,16689.1
2014,Slovenia,8544.1,1807.4,7321.0,17672.5
2015,Slovenia,8878.5,1756.3,7692.5,18327.3
2016,Slovenia,9283.7,1759.9,8095.0,19138.6
2017,Slovenia,10002.6,1945.8,8798.2,20746.6
2018,Slovenia,10534.3,2227.9,9277.2,22039.4
2019,Slovenia,11275.8,2475.9,9907.9,23659.6
2020,Slovenia,11076.9,2451.5,9589.7,23118.1
2021,Slovenia,11877.0,2770.5,10366.4,25013.9
2022,Slovenia,12543.9,3378.0,11339.2,27261.1
2023,Slovenia,15002.1,3947.1,12502.5,31451.7
2024,Slovenia,15620.6,3975.5,13056.9,32653.0
2025,Slovenia,15635.2,4338.5,13113.8,33087.5
1995,Slovakia,3604.8,677.7,2859.2,7141.7
1996,Slovakia,3876.5,1011.9,3000.6,7889.0
1997,Slovakia,4116.8,1127.7,3235.0,8479.5
1998,Slovakia,4540.6,1174.9,3635.6,9351.1
1999,Slovakia,4522.6,1020.4,3371.9,8914.9
2000,Slovakia,5405.0,1196.0,4391.5,10992.5
2001,Slovakia,5872.2,1270.6,5006.2,12149.0
2002,Slovakia,6143.7,1567.0,5006.8,12717.5
2003,Slovakia,7513.4,1696.6,5810.6,15020.6
2004,Slovakia,9121.2,2017.4,6940.5,18079.1
2005,Slovakia,10197.3,2381.5,7949.9,20528.699999999997
2006,Slovakia,12462.1,3141.9,9221.9,24825.9
2007,Slovakia,14819.1,4003.8,11206.9,30029.800000000003
2008,Slovakia,16055.9,5690.5,12239.2,33985.600000000006
2009,Slovakia,12968.3,5791.7,9406.5,28166.5
2010,Slovakia,14911.9,5676.3,11777.2,32365.4
2011,Slovakia,15905.5,5532.9,12469.9,33908.3
2012,Slovakia,16253.4,5917.3,12736.1,34906.8
2013,Slovakia,15723.2,5144.2,12441.4,33308.8
2014,Slovakia,17450.6,5437.6,14190.2,37078.399999999994
2015,Slovakia,18189.2,5869.0,15133.9,39192.1
2016,Slovakia,17541.0,5860.3,14502.1,37903.4
2017,Slovakia,17431.0,6423.2,14545.1,38399.3
2018,Slovakia,19151.3,6661.3,16346.3,42158.899999999994
2019,Slovakia,21324.3,6233.2,17682.3,45239.8
2020,Slovakia,20321.5,6595.4,16544.4,43461.3
2021,Slovakia,19994.1,7937.5,16941.9,44873.5
2022,Slovakia,20785.0,8405.2,19078.7,48268.9
2023,Slovakia,26390.6,9692.8,20812.5,56895.899999999994
2024,Slovakia,27579.4,10099.4,21260.2,58939.0
2025,Slovakia,27923.7,10508.7,22146.5,60578.9
