year,country,population_Mio,gdp_per_capita_USD,gdp_growth_rate_Percent,hdd_DegreesC,cdd_DegreesC,industry_va_MioEUR,energy_intensity_KGOE_per_EUR_PPS,eii_share_Percent,demand_ind_TWh,demand_tra_TWh,demand_oth_TWh,demand_tot_TWh,ln_gdp_pc,ln_pop,ln_industry_gva,ln_energy_intensity,ln_hdd,ln_cdd,ln_demand_ind_TWh,ln_demand_tra_TWh,ln_demand_oth_TWh
1990,Austria,7.644818,43177.35409,3.299014032531944,3647.948555965075,25.64684200596804,76647.33446857157,192.02739416218614,21.727864602020563,17.98,2.77,22.017,42.767,10.67309458592684,2.156960066282065,11.246983155017196,5.262832117496723,8.202194338218426,3.2826706447523395,2.8892600290434745,1.0188473201992472,3.0918148822310356
1990,Belgium,9.947782,41647.81322,3.299014032531944,2276.9519201528847,46.29613192140583,88330.30543010878,355.1891309292665,32.90430749958854,30.523,1.249,26.212,57.984,10.637028153071377,2.3931368786674287,11.388849858641729,5.875461856435106,7.731032037617965,3.85642851459379,3.418480497784715,0.2223432311434407,3.2662173211772503
1990,Bulgaria,8.767308,13688.68504,3.299014032531944,2416.96324001172,129.4818368893318,3161.449729083576,527.3737154435761,17.535800106614815,18.552,1.305,15.415,35.272,9.524397911443698,2.2790408907280355,8.059102236967481,6.26980382773865,7.790680828417208,4.871234036151524,2.9205775999532304,0.2662030407746567,2.7353410613381137
1990,Croatia,4.772556,17519.10144,3.299014032531944,1947.345517636787,106.44144552182476,6163.843646374042,286.2600818457004,13.400260628649214,5.984,0.369,6.95,13.303,9.771104154427958,1.7531149633687946,8.726618053780332,5.660388013922178,7.574735838924298,4.676946006348458,1.7890892406721761,-0.9969586349416099,1.9387416595767009
1990,Czechia,10.362102,30937.81727,3.299014032531944,3008.033596077541,32.228258351825374,20501.510613963805,406.66088462968327,32.21456816809193,26.922,3.167,18.088,48.177,10.339766896828854,2.4302834313873696,9.928302626601631,6.010435663671586,8.009374241764638,3.5034006690707526,3.2929437962219015,1.1527847675565026,2.895248734975669
1990,Denmark,5.135409,45847.80893,3.299014032531944,2573.852049640807,14.158591496563346,43392.29211928347,280.58335998017213,15.334004658087714,8.409,0.204,19.757,28.37,10.733104499811747,1.814076742607418,10.678060148679437,5.640428531558444,7.853547354996979,2.71856746670023,2.129302560850761,-1.5896352851379207,2.9835078589312682
1990,Estonia,1.570599,14705.16522,3.299014032531944,3506.8052039747963,20.208395724590908,1038.6422862705947,947.8910172816256,14.077448450480782,2.73,0.348,3.727,6.805,9.596022087563178,0.9441389456795809,6.946631977460111,6.855293952480722,8.162745822866695,3.054397128025719,1.0043016091968684,-1.0555527992076628,1.3156036204971213
1990,Finland,4.974383,38802.53778,3.299014032531944,4890.330549689824,18.547222025091763,54287.2,404.637477236263,27.82588690010583,32.518,0.425,26.0,58.943,10.566266701351639,1.7874808288871957,10.902062171072634,6.005459847506093,8.495219641508589,2.972833180431561,3.4817937821733635,-0.8556661100577202,3.258096538021482
1990,France,58.313439,38727.40359,3.299014032531944,2069.89262003016,85.4037122106147,399014.1,271.9059237691602,5.926657199773701,114.666,7.473,180.091,302.23,10.564328552707556,4.082835907646307,12.89675453976744,5.609127134218024,7.635735010717783,4.459030640287657,4.7420235547348994,2.011296524948153,5.193462278695611
1990,Germany,79.112831,42535.21319,3.299014032531944,2608.1747159771594,50.55400411291648,868458.3171352934,248.16054972867363,21.664185458425187,216.479,13.668,224.932,455.079,10.658111067161459,4.383436028511621,13.674476020889452,5.518097466711468,7.866789249539699,3.9426298817998475,5.377493545047433,2.6150573342530454,5.415798134303858
