nuts0,country,year,tas_annual,hdd_annual,cdd_annual,tasmax_max,tasmax_mean,tasmax_min,tasmin_max,tasmin_mean,tasmin_min
AT,Austria,1950,278.65245134842326,3932.643884927661,58.85032290969174,303.24658737916553,282.8618362890927,255.6324474369904,291.05405830740494,274.84209734171293,245.26626393920353
AT,Austria,1951,278.2750958159107,4025.19387938027,47.400667061468646,303.05961911427903,282.25161744234185,262.7665548667984,290.603322419149,274.6939235447918,253.88031007293904
AT,Austria,1952,278.8747988844994,3773.5050771694832,32.05178203325079,302.5862783708332,282.62216170161605,262.02969640256345,290.4204849978911,275.4970489804194,253.37158372027608
AT,Austria,1953,279.06003220947275,3750.3449507148075,49.81847829163296,304.4294572070347,283.2110454702149,260.0386544576995,291.6040779678773,275.3816788789789,252.45893238975196
AT,Austria,1954,279.4351853125983,3594.851857756675,41.20213689609904,302.4466226022665,283.30509255476704,263.45353925884024,289.3548377390916,276.0392936526895,255.61354343645246
AT,Austria,1955,278.9110662482773,3901.6283037953367,85.89168321626148,305.04232318284807,282.8724765187568,263.4984613783027,291.4094214599787,275.29733950380415,254.2698408625454
AT,Austria,1956,279.2170062211466,3732.057363157463,53.6349217320456,302.67734290501085,283.13101538940424,263.04633308753444,289.47452326107486,275.7028895933811,253.75943089631264
AT,Austria,1957,278.9876842157512,3777.875251328055,43.54032942549862,301.97659038600335,283.0402969632979,255.65749713258285,289.333112258573,275.3434023352389,245.22239917905327
AT,Austria,1958,277.9546132113559,4129.591802747757,36.84759014448234,300.2052490230658,281.8574404134059,259.92670302139675,288.7950167344802,274.39626041161637,250.74495279824384
AT,Austria,1959,280.11455784922464,3413.1222141072726,59.52565191806982,302.30029279517765,284.2188150627385,263.46435739800734,290.0358371090367,276.5233888757872,255.9304968357353
AT,Austria,1960,278.2932262153273,4008.7930903219285,34.71625853877022,301.4883473384165,282.3640987775114,259.02737904265575,289.116529381842,274.67807986238455,250.54709537974577
AT,Austria,1961,277.4738514456245,4211.693735549448,17.610365895829574,300.1247768449742,281.3027616779988,257.0247852727405,287.71351669078086,274.0395258465271,249.1879016344729
AT,Austria,1962,277.9574709755846,4079.4365738811275,23.755017569985746,299.50493709796393,281.8618910430606,259.5827869396521,288.31718765619075,274.4590866951819,249.70674206905542
AT,Austria,1963,278.8371534049347,3795.303785587618,38.8950692656233,302.98648253504643,282.83597364487593,260.9270530453983,290.33447850116494,275.33249113394425,251.5125175243088
AT,Austria,1964,279.60453932256615,3488.2308538274665,26.615811624055347,301.9519501621114,283.44584348932483,262.63133755188426,289.93657353407343,276.22216520352424,254.58370452296583
AT,Austria,1965,279.13232386682307,3727.6804033184544,42.68314018062189,302.02677353922854,283.2200104201903,263.20464801782646,289.1706118023675,275.46482740839434,255.46387889961946
AT,Austria,1966,279.25754161065004,3720.1417773447824,48.90250216871747,300.89736632160657,283.3280641832837,258.61571522369354,288.9211217704174,275.6386569261317,249.73412299577404
